0001	装備無し
0002	アイアンソード
0003	アイアンソード改
0004	バスターソード
0005	ソウルオブキャット
0006	天下無双刀
0007	バスターブレイド
0008	ブルーウィング
0009	ブレイズブレイド
000a	アッパーブレイズ
000b	鉄刀
000c	鉄刀【禊】
000d	鉄刀【神楽】
000e	骨刀【狼牙】
000f	骨刀【鮫牙】
0010	骨刀【竜牙】
0011	黒刀【零ノ型】
0012	黒刀【弐ノ型】
0013	ディフェンダー
0014	飛竜刀【朱】
0015	センチネル
0016	ハルバード
0017	飛竜刀【青葉】
0018	ジャッジメント
0019	エクスキューション
001a	エクスキューション改
001b	ダークサイス
001c	ダークトーメント
001d	ボーンブレイド
001e	ボーンブレイド改
001f	アギト
0020	黒刀【参ノ型】
0021	リュウノアギト
0022	レッドストライプ
0023	ゴーレムブレイド
0024	ヴァルキリーブレイド
0025	ジークリンデ
0026	ドラゴンキラー
0027	レッドシザー
0028	フィンブレイド
0029	ギザミブレイド
002a	水剣ガノトトス
002b	レッドウィング
002c	炎剣リオレウス
002d	凄くさびた大剣
002e	さびた大剣
002f	ブルークロウブレイド
0030	エンシェントプレート
0031	骨
0032	龍木ノ太刀
0033	龍刀【焔】
0034	龍刀【紅蓮】
0035	蛇剣【蒼蛇】
0036	ダブルブロスソード
0037	蛇剣【大蛇】
0038	アイアンハンマー
0039	アイアンハンマー改
003a	ウォーハンマー
003b	溶解鎚
003c	ウォーメイス
003d	アイアンストライク
003e	ブルヘッドハンマー
003f	ツインブロスハンマー
0040	アイアンインパクト
0041	スパイクハンマー
0042	スパイクハンマー改
0043	クリスタルロック
0044	クリスタルノヴァ
0045	アンヴィルハンマー
0046	ヴェノムモンスター
0047	ボーンアクス
0048	ロブスタンプ
0049	ブロードボーンアクス
004a	ギガントハンマー
004b	イカリハンマー
004c	コーンヘッドハンマー
004d	スイ【烏】
004e	グラビィトンハンマー
004f	ボーンハンマー
0050	ボーンハンマー改
0051	サイクロプスハンマー
0052	龍頭蓋棍
0053	アトラスハンマー
0054	スカルクラッシュ
0055	スカルクラッシュ改
0056	クックジョー
0057	グレートコーン
0058	ギガントハンマー改
0059	バサルブロウ
005a	ブロステイル
005b	ジェイルハンマー
005c	ジェイダイトメイス
005d	ジェイドメイス
005e	工房試作品ガンハンマ
005f	デッドリボルバー
0060	凄くさびた槌
0061	さびた槌
0062	鋼氷棍
0063	ブレス・コア
0064	骨塊
0065	大骨塊
0066	ドラゴンデストロイ
0067	ドラゴンブレイカー
0068	アイアンランス
0069	アイアンランス改
006a	ナイトランス
006b	撃竜槍【阿】
006c	ナイトスクウィード
006d	パラディンランス
006e	ランパート
006f	アイアンガンランス
0070	バベル
0071	鬼鉄
0072	アイアンガンランス改
0073	討伐隊正式銃槍
0074	ダークランス
0075	シルバールーク
0076	ダークスクウィード
0077	パラライザー
0078	トライデント
0079	ボーンジャベリン
007a	ナナ＝ハウル
007b	スパイクスピア
007c	アクアンスピア
007d	ナナ＝ロア
007e	シープソングスピア
007f	ホワイトガンランス
0080	ボーンランス
0081	ボーンランス改
0082	ロングホーン
0083	ブラックキャノン
0084	ロングタスク
0085	バーバリアンタスク
0086	ヘルスティング
0087	ハードヒッター
0088	オーガーランス
0089	レッドテイル
008a	シザーガンランス
008b	龍木ノ槍
008c	ブロスホーン
008d	エメラルドスピア
008e	角槍ディアブロス
008f	ボーンクロウランス
0090	クリムゾンブロス
0091	ヴェノムランス
0092	ブレイドスティンガー
0093	ヴェノムスクウィード
0094	豪槍グラビモス
0095	ガトリングランス
0096	ガトリングランス改
0097	凄くさびた槍
0098	さびた槍
0099	ギザミスティンガー
009a	アンドレイヤー
009b	ドラゴンランス
009c	鬼槍ラージャン
009d	ハンターナイフ
009e	ハンターナイフ改
009f	ハンターカリンガ
00a0	ハンターカリンガ改
00a1	アサシンカリンガ
00a2	紫電
00a3	紫電改
00a4	朽ちた龍剣
00a5	雷神剣キリン
00a6	サーペントバイト
00a7	ドスバイトダガー
00a8	ヴァイパーバイト
00a9	封龍宝剣
00aa	デスパライズ
00ab	ハイドラバイト
00ac	フレイムサイフォス
00ad	デッドリィポイズン
00ae	サンダーベイン
00af	プリンセスレイピア
00b0	ライトニングベイン
00b1	プリンセスレイピア改
00b2	ポイズンタバルジン
00b3	ボーンククリ
00b4	ボーンククリ改
00b5	ボーンピック
00b6	ボーンピック改
00b7	ボーンネイル
00b8	バーンエッジ
00b9	マスターブレイド
00ba	バーンエッジ改
00bb	イフリートマロウ
00bc	スリープショテル
00bd	鋼氷剣
