0000	なし
0001	受身
0002	運気
0003	運搬
0004	自動防御
0005	ガード性能
0006	回復
0007	回復速度
0008	拡散弾追加
0009	加護
000a	雷耐性
000b	貫通弾強化
000c	貫通弾追加
000d	気絶
000e	気まぐれ
000f	斬れ味
0010	食いしん坊
0011	気配
0012	達人
0013	広域回復
0014	広域解毒
0015	攻撃
0016	採取
0017	散弾強化
0018	散弾追加
0019	睡眠
001a	全耐性ＵＰ
001b	千里眼
001c	装填
001d	耐寒
001e	耐暑
001f	体力
0020	匠
0021	種広域化
0022	弾調合
0023	地図
0024	聴覚保護
0025	調合成功率
0026	通常弾強化
0027	通常弾追加
0028	釣り
0029	胴系統＋１
002a	胴系統＋２
002b	胴系統倍加
002c	投擲
002d	研ぎ師
002e	毒
002f	特殊攻撃
0030	肉
0031	盗み無効
0032	爆弾強化
0033	はらへり
0034	反動
0035	火耐性
0036	風圧
0037	笛
0038	防御
0039	麻痺
003a	水耐性
003b	龍耐性
003c	榴弾追加
003d	錬金術
003e	連射
003f	高速収集
0040	回避性能
0041	底力
0042	効果持続
0043	スタミナ
0044	装填数
0045	精密射撃
0046	モンスター
0047	食事
0048	剥ぎ取り
0049	地形
004a	抗菌・抗毒
004b	耐雪
004c	氷耐性
004d	耐震
004e	広域
004f	声帯
0050	肉焼き
0051	砲術師
